Ticker,Signal,Direction,Total Return,Max Drawdown,Risk_Adjusted_Return,Composite_Score
BPE.MI,rrg,LONG,5.094500000000068,-4.855420597652641,1.0470831653193455,0.7626541327913965
STLAM.MI,rema_100150,SHORT,3.1091900000000727,-3.0154344147210055,1.0276838211635109,0.7578120771583076
PST.MI,rema_50100,LONG,2.5879949999999097,-2.5227074571443797,1.0218294231730445,0.7567526247059936
PST.MI,rsma_50100,LONG,2.5879949999999097,-2.5227074571443797,1.0218294231730445,0.7567526247059936
STLAM.MI,rrg,SHORT,2.732855000000156,-2.6748833175133098,1.0178673248755097,0.7557179496972748
PST.MI,rrg,LONG,1.605167999999968,-1.579809404970401,1.009660651762123,0.7550485613262272
PST.MI,rbo_100,LONG,2.5174799999998942,-2.4959987311431284,1.0045815142338594,0.7528590866481826
BPE.MI,rema_50100,LONG,5.097655999999984,-5.04318098207631,1.0088013902691053,0.7508633195885847
BPE.MI,rsma_50100,LONG,5.097655999999984,-5.04318098207631,1.0088013902691053,0.7508633195885847
BPE.MI,rbo_100,LONG,2.6331249999998363,-2.634383392301307,0.9957425264678913,0.7506353940724979
